QueryText
14635120
7630582
1372265
1329323
818669
592956
376886
357732
348610
237601
191118
157125
137336
92596
66884
60532
48078
36248
33055
28390
27702
27157
25700
17883
16581
16040
15175
12933
11786
9811
8198
7391
7272
6581
5548
4193
3974
3744
3542
3500
3334
2888
2758
2650
2279
2011
1838
1628
1151
1089
1063
999
956
799
618
528
444
379
354
303
214
168
30
